DATE,AIRRPMTSID11
2012-01-01,68980135.0
2012-02-01,69803920.0
2012-03-01,69640123.0
2012-04-01,69450680.0
2012-05-01,69120183.0
2012-06-01,69212048.0
2012-07-01,68894337.0
2012-08-01,69131814.0
2012-09-01,69380937.0
2012-10-01,69079099.0
2012-11-01,69187515.0
2012-12-01,69698602.0
2013-01-01,70149991.0
2013-02-01,71229962.0
2013-03-01,70047148.0
2013-04-01,70383314.0
2013-05-01,70152045.0
2013-06-01,70829412.0
2013-07-01,70477236.0
2013-08-01,70654987.0
2013-09-01,70492120.0
2013-10-01,70753062.0
2013-11-01,72041488.0
2013-12-01,71056786.0
2014-01-01,71479352.0
2014-02-01,71886932.0
2014-03-01,72872218.0
2014-04-01,72369265.0
2014-05-01,72453673.0
2014-06-01,72051484.0
2014-07-01,72303316.0
2014-08-01,72420239.0
2014-09-01,72743742.0
2014-10-01,72342521.0
2014-11-01,73169352.0
2014-12-01,73614975.0
2015-01-01,73817611.0
2015-02-01,74223729.0
2015-03-01,74906795.0
2015-04-01,74364668.0
2015-05-01,75020799.0
2015-06-01,75377598.0
2015-07-01,75891297.0
2015-08-01,76735267.0
2015-09-01,76748649.0
2015-10-01,77245430.0
2015-11-01,76744414.0
2015-12-01,77543532.0
2016-01-01,77386650.0
2016-02-01,78233155.0
2016-03-01,76723082.0
2016-04-01,77576845.0
2016-05-01,77899892.0
2016-06-01,78189477.0
2016-07-01,77950072.0
2016-08-01,77586818.0
2016-09-01,79107552.0
2016-10-01,78720336.0
2016-11-01,79141520.0
2016-12-01,79480866.0
2017-01-01,80224118.0
2017-02-01,79566245.0
2017-03-01,79566093.0
2017-04-01,80807753.0
2017-05-01,80616520.0
2017-06-01,80459138.0
2017-07-01,81287524.0
2017-08-01,81370569.0
2017-09-01,79540750.0
2017-10-01,81813935.0
2017-11-01,82198313.0
2017-12-01,82283994.0
2018-01-01,82847859.0
2018-02-01,84099699.0
2018-03-01,84102448.0
2018-04-01,84174343.0
2018-05-01,84703410.0
2018-06-01,85279677.0
2018-07-01,85293195.0
2018-08-01,85142763.0
2018-09-01,84434955.0
2018-10-01,85805016.0
2018-11-01,85531292.0
2018-12-01,85699399.0
2019-01-01,86372336.0
2019-02-01,87154457.0
2019-03-01,88979676.0
2019-04-01,87490932.0
2019-05-01,88798955.0
2019-06-01,88385890.0
2019-07-01,88033949.0
2019-08-01,88667060.0
2019-09-01,88675596.0
2019-10-01,88873832.0
2019-11-01,89561901.0
2019-12-01,89970400.0
2020-01-01,90315498.0
2020-02-01,89969912.0
2020-03-01,42240608.0
2020-04-01,3033628.0
2020-05-01,3946204.0
2020-06-01,5169690.0
2020-07-01,6915971.0
2020-08-01,15051845.0
2020-09-01,28292027.0
2020-10-01,28858170.0
2020-11-01,34271571.0
2020-12-01,32649809.0
2021-01-01,37356933.0
2021-02-01,43401187.0
2021-03-01,42489965.0
2021-04-01,47485969.0
2021-05-01,55714253.0
2021-06-01,58550941.0
2021-07-01,63139598.0
2021-08-01,62886987.0
2021-09-01,65453737.0
2021-10-01,68016287.0
2021-11-01,74686791.0
2021-12-01,73137306.0
2022-01-01,66691041.0
2022-02-01,75352896.0
2022-03-01,77501583.0
2022-04-01,78997627.0
2022-05-01,81457624.0
