Month,Heating Degree days: U.S. (heating degree days) heating degree days,Cooling Degree days: U.S. (cooling degree days) cooling degree days
Dec-23,780.3,10.2
Nov-23,498.6,20.3
Oct-23,252.8,62.1
Sep-23,59.7,174
Aug-23,10.9,321.2
Jul-23,6.9,346.7
Jun-23,29.9,236.4
May-23,140.7,117
Apr-23,316.7,38.8
Mar-23,562.7,22.2
Feb-23,688.6,11
Jan-23,854.5,10.3
Dec-22,781.1,10.1
Nov-22,495,20.9
Oct-22,248.3,64.1
Sep-22,57.1,177.9
Aug-22,5.8,339.1
Jul-22,3.7,393.4
Jun-22,26.2,269.9
May-22,123.4,147.4
Apr-22,342.4,48.6
Mar-22,524.9,26.7
Feb-22,710.2,11.1
Jan-22,912.8,8.7
Dec-21,616.3,25.6
Nov-21,509.5,18
Oct-21,180.6,84
Sep-21,40.1,200.3
Aug-21,5.9,357.7
Jul-21,4.6,346.4
Jun-21,12.4,274.1
May-21,150.9,100.7
Apr-21,308.2,36.5
Mar-21,508,27.9
Feb-21,794.3,12
Jan-21,804.9,9.8
Dec-20,751.6,6.9
Nov-20,422.9,31.8
Oct-20,248.4,82.1
Sep-20,58.5,180.3
Aug-20,7.3,355.9
Jul-20,4.7,397
Jun-20,25.7,246.1
May-20,157.1,105.1
Apr-20,360.1,42.3
Mar-20,485.5,42.5
Feb-20,653.7,12.4
Jan-20,741.2,15.1
Dec-19,717.7,13.7
Nov-19,591.3,16
Oct-19,254.9,74.6
Sep-19,41.4,241.6
Aug-19,10.3,335
Jul-19,5.3,372.4
Jun-19,34.3,226
May-19,159,128.6
Apr-19,289,41.6
Mar-19,634.1,18.2
Feb-19,721.5,17.9
Jan-19,861.5,9
Dec-18,733.5,10.6
Nov-18,595.4,17.7
Oct-18,254.7,69
Sep-18,37.8,230
Aug-18,7,350.3
Jul-18,3.5,375.1
Jun-18,26.5,268.8
May-18,85.7,173.5
Apr-18,412.1,32.3
Mar-18,611,21
Feb-18,626.9,22.8
Jan-18,898.7,7.5
Dec-17,800.2,10.1
Nov-17,491.8,27.2
Oct-17,193.4,77.2
Sep-17,44.6,183.5
Aug-17,15.2,291.1
Jul-17,5.2,362.1
Jun-17,24.8,240.4
May-17,154.4,105
Apr-17,248.7,55.5
Mar-17,544.9,31.7
Feb-17,548.8,21.6
Jan-17,768,16.6
Dec-16,784.7,16.5
Nov-16,419.3,25.4
Oct-16,198.4,85.9
Sep-16,38.9,218.5
Aug-16,6.4,361.4
Jul-16,5.7,382.9
Jun-16,20.9,269.9
May-16,150.9,97
Apr-16,310.6,42.2
Mar-16,451,35
Feb-16,629.5,11.1
Jan-16,872.4,7.4
Dec-15,582.1,26.1
Nov-15,446,29.6
Oct-15,228,76.6
Sep-15,32,222.7
Aug-15,11,314.6
Jul-15,6.4,335.5
Jun-15,24.4,254.3
May-15,118.9,125.5
Apr-15,300.7,53
Mar-15,585.6,29.2
Feb-15,869.2,7.3
Jan-15,892,9.2
Dec-14,706.7,10.3
Nov-14,615.2,11.1
Oct-14,221.2,73.9
Sep-14,57.7,182.1
Aug-14,13,291.3
Jul-14,9.8,300.2
Jun-14,28,242.1
May-14,127.2,112.9
Apr-14,325.5,37.1
Mar-14,684.5,15.2
Feb-14,800.2,11.9
Jan-14,971.4,7.1
Dec-13,830.2,13.3
Nov-13,572.9,17.7
Oct-13,257.7,55.8
Sep-13,59.6,176.9
Aug-13,11.7,288
Jul-13,5.2,338.1
Jun-13,26.4,244.2
May-13,136.3,99.5
Apr-13,348.5,34
Mar-13,660.6,11.1
Feb-13,734,10.8
Jan-13,828.8,14.9
Dec-12,699.2,11.4
Nov-12,541,13.9
Oct-12,262.1,55.2
Sep-12,61,173.6
Aug-12,8.7,327.9
Jul-12,5,401.1
Jun-12,31.6,232.9
May-12,98.8,154.7
Apr-12,292.4,48.7
Mar-12,381.4,48.8
Feb-12,629.3,13.2
Jan-12,762.7,12
Dec-11,724,11.2
