DATE,TRFVOLUSM227NFWA
2012-01-01,227527
2012-02-01,218196
2012-03-01,256166
2012-04-01,249394
2012-05-01,260774
2012-06-01,260376
2012-07-01,260244
2012-08-01,264379
2012-09-01,238867
2012-10-01,253574
2012-11-01,240361
2012-12-01,238709
2013-01-01,229419
2013-02-01,215803
2013-03-01,253026
2013-04-01,252064
2013-05-01,263406
2013-06-01,259980
2013-07-01,263946
2013-08-01,268061
2013-09-01,242536
2013-10-01,258748
2013-11-01,240055
2013-12-01,241237
2014-01-01,226413
2014-02-01,213949
2014-03-01,253424
2014-04-01,256736
2014-05-01,266237
2014-06-01,263459
2014-07-01,270053
2014-08-01,268831
2014-09-01,247688
2014-10-01,265144
2014-11-01,241451
2014-12-01,252271
2015-01-01,233498
2015-02-01,217220
2015-03-01,258017
2015-04-01,262817
2015-05-01,270839
2015-06-01,270574
2015-07-01,278372
2015-08-01,272209
2015-09-01,255090
2015-10-01,268469
2015-11-01,248843
2015-12-01,259424
2016-01-01,239679
2016-02-01,223011
2016-03-01,265147
2016-04-01,269653
2016-05-01,277972
2016-06-01,276991
2016-07-01,285160
2016-08-01,279213
2016-09-01,262039
2016-10-01,275610
2016-11-01,255154
2016-12-01,264778
2017-01-01,242600.0
2017-02-01,225644.0
2017-03-01,268343.0
2017-04-01,272864.0
2017-05-01,281264.0
2017-06-01,280290.0
2017-07-01,288566.0
2017-08-01,282558.0
2017-09-01,265212.0
2017-10-01,278888.0
2017-11-01,258159.0
2017-12-01,267958.0
2018-01-01,244736.0
2018-02-01,227759.0
2018-03-01,270705.0
2018-04-01,275127.0
2018-05-01,283713.0
2018-06-01,282648.0
2018-07-01,290989.0
2018-08-01,284989.0
2018-09-01,267434.0
2018-10-01,281382.0
2018-11-01,260473.0
2018-12-01,270370.0
2019-01-01,248927.0
2019-02-01,231791.0
2019-03-01,272379.0
2019-04-01,273413.0
2019-05-01,289711.0
2019-06-01,281359.0
2019-07-01,291520.0
2019-08-01,293308.0
2019-09-01,273319.0
2019-10-01,283961.0
2019-11-01,260326.0
2019-12-01,261757.0
2020-01-01,260847.0
2020-02-01,242695.0
2020-03-01,226638.0
2020-04-01,167617.0
2020-05-01,221006.0
2020-06-01,250330.0
2020-07-01,265550.0
2020-08-01,265060.0
2020-09-01,257531.0
2020-10-01,266596.0
2020-11-01,238300.0
2020-12-01,241451.0
2021-01-01,231030.0
2021-02-01,213038.0
2021-03-01,269426.0
2021-04-01,259189.0
2021-05-01,284326.0
2021-06-01,286898.0
2021-07-01,296458.0
2021-08-01,287409.0
2021-09-01,277998.0
2021-10-01,285755.0
2021-11-01,267749.0
2021-12-01,268420.0
2022-01-01,240540.0
2022-02-01,235812.0
2022-03-01,277253.0
2022-04-01,263243.0
2022-05-01,288167.0
2022-06-01,282121.0
