, US-Canada Rate, US-Saudi Rate,TRFVOLUSM227NFWA,GENERATION (Megawatthours),TotalSales,RAIL_PM,Datetime
0,1.016364,3.750145,227527.0,2477158.0,14.395,463005361.0,2012-01-01
1,0.997757,3.750272,218196.0,1901745.0,14.975,461139329.0,2012-02-01
2,0.993162,3.75033,256166.0,1541354.0,14.594,544100123.0,2012-03-01
3,0.994276,3.749815,249394.0,1503233.0,14.769,585609840.0,2012-04-01
4,1.009397,3.7502,260774.0,1729816.0,14.496,594778477.0,2012-05-01
5,1.027839,3.74963,260376.0,2067697.0,14.467,642263746.0,2012-06-01
6,1.014016,3.751958,260244.0,2339699.0,14.38,663965533.0,2012-07-01
7,0.99344,3.750358,264379.0,2117982.0,14.444,639545067.0,2012-08-01
8,0.979022,3.750197,238867.0,1860197.0,15.099,533542490.0,2012-09-01
9,0.986016,3.749981,253574.0,1805124.0,14.83,539908156.0,2012-10-01
10,0.997657,3.750197,240361.0,1809861.0,15.456,534831976.0,2012-11-01
11,0.990504,3.749653,238709.0,2035674.0,15.462,577219034.0,2012-12-01
12,0.992235,3.75029,229419.0,2774720.0,15.813,478056074.0,2013-01-01
13,1.008024,3.750152,215803.0,1997086.0,15.861,449136459.0,2013-02-01
14,1.0243,3.75016,253026.0,1997037.0,15.721,604193668.0,2013-03-01
15,1.018646,3.751388,252064.0,1885463.0,15.811,547267811.0,2013-04-01
16,1.019315,3.750329,263406.0,2411588.0,15.884,598536892.0,2013-05-01
17,1.031804,3.750247,259980.0,2342070.0,16.149,638602721.0,2013-06-01
18,1.041515,3.750305,263946.0,2812306.0,16.021,681357191.0,2013-07-01
19,1.039314,3.750326,268061.0,2448499.0,15.827,649933765.0,2013-08-01
20,1.036557,3.75047,242536.0,2186182.0,15.857,517765302.0,2013-09-01
21,1.035523,3.750655,258748.0,2018435.0,15.727,543695520.0,2013-10-01
22,1.048196,3.750363,240055.0,1839734.0,16.079,519835331.0,2013-11-01
23,1.063922,3.750382,241237.0,2451324.0,15.835,604977613.0,2013-12-01
24,1.090421,3.751035,226413.0,7221609.0,15.614,466418567.0,2014-01-01
25,1.105618,3.750488,213949.0,2806482.0,15.993,424362057.0,2014-02-01
26,1.110703,3.750384,253424.0,3298075.0,16.985,542911331.0,2014-03-01
27,1.099749,3.750423,256736.0,1721091.0,16.695,545773080.0,2014-04-01
28,1.089521,3.750444,266237.0,2032192.0,17.137,581325298.0,2014-05-01
29,1.082865,3.750747,263459.0,2034081.0,17.516,624637290.0,2014-06-01
30,1.07269,3.750432,270053.0,2052029.0,17.277,672539892.0,2014-07-01
31,1.092226,3.750423,268831.0,2074137.0,17.239,649665562.0,2014-08-01
32,1.099751,3.75132,247688.0,1913998.0,16.959,540029397.0,2014-09-01
33,1.122052,3.751458,265144.0,1503258.0,16.756,554539946.0,2014-10-01
34,1.131759,3.75236,241451.0,1740588.0,16.949,546544981.0,2014-11-01
35,1.154144,3.753337,252271.0,2091328.0,17.178,587913029.0,2014-12-01
36,1.2099,3.755736,233498.0,2972967.0,16.912,458200128.0,2015-01-01
37,1.251616,3.752384,217220.0,6320621.0,16.895,430056703.0,2015-02-01
38,1.261494,3.75059,258017.0,1778491.0,17.894,556689651.0,2015-03-01
39,1.23637,3.750758,262817.0,1727682.0,17.689,541203782.0,2015-04-01
40,1.217718,3.750123,270839.0,1938775.0,17.945,539871332.0,2015-05-01
41,1.235682,3.750198,270574.0,1860497.0,17.881,620954019.0,2015-06-01
42,1.282527,3.750342,278372.0,2304180.0,18.305,680358542.0,2015-07-01
43,1.314185,3.75069,272209.0,2133207.0,18.407,627586111.0,2015-08-01
44,1.326162,3.750092,255090.0,2034306.0,18.273,519017227.0,2015-09-01
45,1.307006,3.749461,268469.0,1771192.0,18.272,523223360.0,2015-10-01
46,1.328105,3.75104,248843.0,1709888.0,18.32,538968201.0,2015-11-01
47,1.370132,3.751535,259424.0,1696944.0,17.492,561992627.0,2015-12-01
48,1.417969,3.75201,239679.0,2361453.0,18.071,443214812.0,2016-01-01
49,1.380447,3.750743,223011.0,2209303.0,18.08,425393477.0,2016-02-01
50,1.32389,3.750492,265147.0,1801055.0,17.289,555131660.0,2016-03-01
51,1.283905,3.750032,269653.0,1839050.0,17.665,512433020.0,2016-04-01
