YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2003,1,AK,Total Electric Power Industry,Coal,"54,048"
2003,1,AK,Total Electric Power Industry,Petroleum,"75,785"
2003,1,AK,Total Electric Power Industry,Natural Gas,"343,856"
2003,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"135,163"
2003,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,73
2003,1,AK,Total Electric Power Industry,Other Biomass,483
2003,1,AK,Total Electric Power Industry,Total,"609,407"
2003,1,AK,"Electric Generators, Electric Utilities",Coal,"17,282"
2003,1,AK,"Electric Generators, Electric Utilities",Petroleum,"68,649"
2003,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"324,824"
2003,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"135,163"
2003,1,AK,"Electric Generators, Electric Utilities",Total,"545,918"
2003,1,AK,"Combined Heat and Power, Electric Power",Coal,"15,633"
2003,1,AK,"Combined Heat and Power, Electric Power",Total,"15,633"
2003,1,AK,"Combined Heat and Power, Commercial Power",Coal,"21,133"
2003,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,911
2003,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,73
2003,1,AK,"Combined Heat and Power, Commercial Power",Total,"22,117"
2003,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"6,225"
2003,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"19,031"
2003,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,483
2003,1,AK,"Combined Heat and Power, Industrial Power",Total,"25,739"
2003,1,AL,Total Electric Power Industry,Coal,"6,493,028"
2003,1,AL,Total Electric Power Industry,Petroleum,"56,865"
2003,1,AL,Total Electric Power Industry,Natural Gas,"1,326,098"
2003,1,AL,Total Electric Power Industry,Other Gases,"17,409"
2003,1,AL,Total Electric Power Industry,Nuclear,"2,811,577"
2003,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"969,089"
2003,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"320,050"
2003,1,AL,Total Electric Power Industry,Other Biomass,"1,861"
2003,1,AL,Total Electric Power Industry,Other,"2,934"
2003,1,AL,Total Electric Power Industry,Total,"11,998,910"
2003,1,AL,"Electric Generators, Electric Utilities",Coal,"6,453,938"
2003,1,AL,"Electric Generators, Electric Utilities",Petroleum,"43,319"
2003,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"817,912"
2003,1,AL,"Electric Generators, Electric Utilities",Nuclear,"2,811,577"
2003,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"969,089"
2003,1,AL,"Electric Generators, Electric Utilities",Total,"11,095,835"
2003,1,AL,"Electric Generators, Independent Power Producers",Petroleum,19
