YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2010,1,AK,Total Electric Power Industry,Coal,"58,575"
2010,1,AK,Total Electric Power Industry,Petroleum,"123,598"
2010,1,AK,Total Electric Power Industry,Natural Gas,"360,405"
2010,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"133,765"
2010,1,AK,Total Electric Power Industry,Wind,416
2010,1,AK,Total Electric Power Industry,Other Biomass,386
2010,1,AK,Total Electric Power Industry,Other,0
2010,1,AK,Total Electric Power Industry,Total,"677,145"
2010,1,AK,"Electric Generators, Electric Utilities",Coal,"18,778"
2010,1,AK,"Electric Generators, Electric Utilities",Petroleum,"116,736"
2010,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"354,078"
2010,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"133,765"
2010,1,AK,"Electric Generators, Electric Utilities",Wind,416
2010,1,AK,"Electric Generators, Electric Utilities",Other,0
2010,1,AK,"Electric Generators, Electric Utilities",Total,"623,773"
2010,1,AK,"Electric Generators, Independent Power Producers",Other,0
2010,1,AK,"Electric Generators, Independent Power Producers",Total,0
2010,1,AK,"Combined Heat and Power, Electric Power",Coal,"17,360"
2010,1,AK,"Combined Heat and Power, Electric Power",Total,"17,360"
2010,1,AK,"Combined Heat and Power, Commercial Power",Coal,"22,437"
2010,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,946
2010,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,120
2010,1,AK,"Combined Heat and Power, Commercial Power",Total,"23,503"
2010,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"5,915"
2010,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,206"
2010,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,386
2010,1,AK,"Combined Heat and Power, Industrial Power",Total,"12,508"
2010,1,AL,Total Electric Power Industry,Coal,"5,634,357"
2010,1,AL,Total Electric Power Industry,Petroleum,"37,323"
2010,1,AL,Total Electric Power Industry,Natural Gas,"2,838,445"
2010,1,AL,Total Electric Power Industry,Other Gases,"17,708"
2010,1,AL,Total Electric Power Industry,Nuclear,"3,611,804"
2010,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,412,517"
2010,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"217,636"
2010,1,AL,Total Electric Power Industry,Other Biomass,"1,094"
2010,1,AL,Total Electric Power Industry,Other,"21,514"
