YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2013,1,AK,Total Electric Power Industry,Total,"640,200"
2013,1,AK,Total Electric Power Industry,Coal,"59,029"
2013,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"129,987"
2013,1,AK,Total Electric Power Industry,Natural Gas,"345,357"
2013,1,AK,Total Electric Power Industry,Other,-16
2013,1,AK,Total Electric Power Industry,Other Biomass,"2,618"
2013,1,AK,Total Electric Power Industry,Petroleum,"95,149"
2013,1,AK,Total Electric Power Industry,Wind,"8,077"
2013,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2013,1,AK,"Electric Generators, Independent Power Producers",Total,"2,579"
2013,1,AK,"Electric Generators, Independent Power Producers",Wind,"2,579"
2013,1,AK,"Electric Generators, Electric Utilities",Total,"580,432"
2013,1,AK,"Electric Generators, Electric Utilities",Coal,"16,505"
2013,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"129,987"
2013,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"338,822"
2013,1,AK,"Electric Generators, Electric Utilities",Other,-16
2013,1,AK,"Electric Generators, Electric Utilities",Petroleum,"89,635"
2013,1,AK,"Electric Generators, Electric Utilities",Wind,"5,498"
2013,1,AK,"Combined Heat and Power, Industrial Power",Total,"11,482"
2013,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,021"
2013,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,327
2013,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"5,134"
2013,1,AK,"Combined Heat and Power, Electric Power",Total,"18,068"
2013,1,AK,"Combined Heat and Power, Electric Power",Coal,"18,068"
2013,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2013,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2013,1,AK,"Combined Heat and Power, Commercial Power",Total,"27,640"
2013,1,AK,"Combined Heat and Power, Commercial Power",Coal,"24,456"
2013,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,513
2013,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"2,291"
2013,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,380
2013,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2013,1,AL,Total Electric Power Industry,Total,"12,877,588"
2013,1,AL,Total Electric Power Industry,Coal,"3,558,451"
2013,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,458,415"
2013,1,AL,Total Electric Power Industry,Natural Gas,"3,750,663"
2013,1,AL,Total Electric Power Industry,Nuclear,"3,824,937"
2013,1,AL,Total Electric Power Industry,Other,214
2013,1,AL,Total Electric Power Industry,Other Biomass,369
2013,1,AL,Total Electric Power Industry,Other Gases,"20,228"
2013,1,AL,Total Electric Power Industry,Petroleum,"9,998"
2013,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"254,313"
2013,1,AL,"Electric Generators, Independent Power Producers",Total,"2,055,476"
2013,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,055,179"
2013,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,206
2013,1,AL,"Electric Generators, Independent Power Producers",Petroleum,90
2013,1,AL,"Electric Generators, Electric Utilities",Total,"10,045,938"
2013,1,AL,"Electric Generators, Electric Utilities",Coal,"3,540,711"
2013,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,458,415"
2013,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,213,257"
2013,1,AL,"Electric Generators, Electric Utilities",Nuclear,"3,824,937"
2013,1,AL,"Electric Generators, Electric Utilities",Petroleum,"8,618"
2013,1,AL,"Combined Heat and Power, Industrial Power",Total,"387,753"
2013,1,AL,"Combined Heat and Power, Industrial Power",Coal,"17,740"
2013,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"107,862"
2013,1,AL,"Combined Heat and Power, Industrial Power",Other,214
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,162
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"20,228"
2013,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"1,290"
2013,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"240,255"
2013,1,AL,"Combined Heat and Power, Electric Power",Total,"388,422"
2013,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2013,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"374,365"
2013,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"14,057"
2013,1,AR,Total Electric Power Industry,Total,"5,649,549"
2013,1,AR,Total Electric Power Industry,Coal,"2,717,870"
2013,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"108,029"
2013,1,AR,Total Electric Power Industry,Natural Gas,"1,276,886"
2013,1,AR,Total Electric Power Industry,Nuclear,"1,388,982"
2013,1,AR,Total Electric Power Industry,Other,"2,958"
2013,1,AR,Total Electric Power Industry,Other Biomass,"9,958"
2013,1,AR,Total Electric Power Industry,Petroleum,"2,981"
2013,1,AR,Total Electric Power Industry,Pumped Storage,764
2013,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"141,121"
2013,1,AR,"Electric Generators, Independent Power Producers",Total,"762,405"
2013,1,AR,"Electric Generators, Independent Power Producers",Coal,"167,302"
2013,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"1,888"
2013,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,"585,344"
2013,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"5,643"
2013,1,AR,"Electric Generators, Independent Power Producers",Petroleum,"2,228"
2013,1,AR,"Electric Generators, Electric Utilities",Total,"4,553,459"
2013,1,AR,"Electric Generators, Electric Utilities",Coal,"2,539,974"
2013,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"106,142"
2013,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"516,946"
2013,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,388,982"
2013,1,AR,"Electric Generators, Electric Utilities",Petroleum,651
2013,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,764
2013,1,AR,"Combined Heat and Power, Industrial Power",Total,"182,902"
2013,1,AR,"Combined Heat and Power, Industrial Power",Coal,"10,594"
2013,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"28,127"
2013,1,AR,"Combined Heat and Power, Industrial Power",Other,"2,958"
2013,1,AR,"Combined Heat and Power, Industrial Power",Other Biomass,0
2013,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,102
2013,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"141,121"
2013,1,AR,"Combined Heat and Power, Electric Power",Total,"150,183"
2013,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"146,364"
2013,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,"3,819"
2013,1,AR,"Combined Heat and Power, Commercial Power",Total,600
2013,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,105
2013,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,495
2013,1,AZ,Total Electric Power Industry,Total,"8,809,568"
2013,1,AZ,Total Electric Power Industry,Coal,"3,755,047"
2013,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"554,553"
2013,1,AZ,Total Electric Power Industry,Natural Gas,"1,497,395"
2013,1,AZ,Total Electric Power Industry,Nuclear,"2,859,327"
2013,1,AZ,Total Electric Power Industry,Other,179
2013,1,AZ,Total Electric Power Industry,Other Biomass,"5,638"
2013,1,AZ,Total Electric Power Industry,Petroleum,"3,546"
2013,1,AZ,Total Electric Power Industry,Pumped Storage,"1,416"
2013,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"91,628"
2013,1,AZ,Total Electric Power Industry,Wind,"31,273"
2013,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"9,566"
2013,1,AZ,"Electric Generators, Independent Power Producers",Total,"904,707"
2013,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"778,980"
2013,1,AZ,"Electric Generators, Independent Power Producers",Other,179
2013,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"3,506"
2013,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"81,203"
2013,1,AZ,"Electric Generators, Independent Power Producers",Wind,"31,273"
2013,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"9,566"
2013,1,AZ,"Electric Generators, Electric Utilities",Total,"7,880,948"
2013,1,AZ,"Electric Generators, Electric Utilities",Coal,"3,755,047"
2013,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"554,553"
2013,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"695,376"
2013,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,859,327"
2013,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,"2,132"
2013,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"3,543"
2013,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"1,416"
2013,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"9,555"
2013,1,AZ,"Combined Heat and Power, Electric Power",Total,"16,088"
2013,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"16,088"
2013,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Total,"7,825"
2013,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"6,951"
2013,1,AZ,"Combined Heat and Power, Commercial Power",Other Biomass,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,3
2013,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,871
2013,1,CA,Total Electric Power Industry,Total,"15,458,493"
2013,1,CA,Total Electric Power Industry,Coal,"65,338"
2013,1,CA,Total Electric Power Industry,Geothermal,"1,068,250"
2013,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"1,693,727"
2013,1,CA,Total Electric Power Industry,Natural Gas,"9,693,411"
2013,1,CA,Total Electric Power Industry,Nuclear,"1,672,507"
2013,1,CA,Total Electric Power Industry,Other,"78,202"
2013,1,CA,Total Electric Power Industry,Other Biomass,"237,409"
2013,1,CA,Total Electric Power Industry,Other Gases,"110,424"
2013,1,CA,Total Electric Power Industry,Petroleum,"2,845"
2013,1,CA,Total Electric Power Industry,Pumped Storage,"-32,630"
2013,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"64,636"
2013,1,CA,Total Electric Power Industry,Wind,"482,260"
2013,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"322,114"
2013,1,CA,"Electric Generators, Independent Power Producers",Total,"5,816,572"
2013,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"967,816"
2013,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"72,117"
2013,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"3,907,820"
2013,1,CA,"Electric Generators, Independent Power Producers",Other,"9,729"
2013,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"114,675"
2013,1,CA,"Electric Generators, Independent Power Producers",Petroleum,135
2013,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"57,688"
2013,1,CA,"Electric Generators, Independent Power Producers",Wind,"457,009"
2013,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"229,584"
2013,1,CA,"Electric Generators, Electric Utilities",Total,"6,625,465"
2013,1,CA,"Electric Generators, Electric Utilities",Geothermal,"73,938"
2013,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,621,234"
2013,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"3,239,726"
2013,1,CA,"Electric Generators, Electric Utilities",Nuclear,"1,672,507"
2013,1,CA,"Electric Generators, Electric Utilities",Other,-117
2013,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"17,745"
2013,1,CA,"Electric Generators, Electric Utilities",Other Gases,0
2013,1,CA,"Electric Generators, Electric Utilities",Petroleum,"2,511"
2013,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-32,630"
2013,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"5,398"
2013,1,CA,"Electric Generators, Electric Utilities",Wind,"25,153"
2013,1,CA,"Combined Heat and Power, Industrial Power",Total,"1,307,660"
2013,1,CA,"Combined Heat and Power, Industrial Power",Coal,"32,860"
2013,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"1,060,415"
2013,1,CA,"Combined Heat and Power, Industrial Power",Other,"59,095"
2013,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,538
2013,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"110,424"
2013,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,139
2013,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,90
2013,1,CA,"Combined Heat and Power, Industrial Power",Wind,60
2013,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"44,041"
2013,1,CA,"Combined Heat and Power, Electric Power",Total,"1,475,750"
2013,1,CA,"Combined Heat and Power, Electric Power",Coal,"32,478"
2013,1,CA,"Combined Heat and Power, Electric Power",Geothermal,"26,496"
2013,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"1,340,162"
2013,1,CA,"Combined Heat and Power, Electric Power",Other,"9,495"
