YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION (Megawatthours)"
2016,1,AK,Total Electric Power Industry,Total,"596,756"
2016,1,AK,Total Electric Power Industry,Coal,"67,136"
2016,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"157,239"
2016,1,AK,Total Electric Power Industry,Natural Gas,"298,215"
2016,1,AK,Total Electric Power Industry,Other,-189
2016,1,AK,Total Electric Power Industry,Petroleum,"67,181"
2016,1,AK,Total Electric Power Industry,Other Biomass,"2,929"
2016,1,AK,Total Electric Power Industry,Wind,"4,245"
2016,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Industrial Power",Total,"10,095"
2016,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,145"
2016,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"3,916"
2016,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,34
2016,1,AK,"Combined Heat and Power, Commercial Power",Total,"29,546"
2016,1,AK,"Combined Heat and Power, Commercial Power",Coal,"10,225"
2016,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"15,949"
2016,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2016,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,477
2016,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"2,895"
2016,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Electric Power",Total,"17,928"
2016,1,AK,"Combined Heat and Power, Electric Power",Coal,"17,928"
2016,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Electric Generators, Independent Power Producers",Total,"1,516"
2016,1,AK,"Electric Generators, Independent Power Producers",Wind,"1,516"
2016,1,AK,"Electric Generators, Electric Utilities",Total,"537,670"
2016,1,AK,"Electric Generators, Electric Utilities",Coal,"38,982"
2016,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"141,290"
2016,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"292,070"
2016,1,AK,"Electric Generators, Electric Utilities",Other,-189
2016,1,AK,"Electric Generators, Electric Utilities",Petroleum,"62,789"
2016,1,AK,"Electric Generators, Electric Utilities",Wind,"2,729"
2016,1,AL,Total Electric Power Industry,Total,"12,942,335"
2016,1,AL,Total Electric Power Industry,Coal,"2,464,381"
2016,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,665,003"
2016,1,AL,Total Electric Power Industry,Natural Gas,"4,832,609"
