YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION (Megawatthours)"
2022,1,AK,Total Electric Power Industry,Total,"584,412"
2022,1,AK,Total Electric Power Industry,Coal,"75,088"
2022,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"198,901"
2022,1,AK,Total Electric Power Industry,Natural Gas,"214,245"
2022,1,AK,Total Electric Power Industry,Other,-104
2022,1,AK,Total Electric Power Industry,Petroleum,"79,085"
2022,1,AK,Total Electric Power Industry,Other Biomass,"3,657"
2022,1,AK,Total Electric Power Industry,Wind,"13,540"
2022,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,962"
2022,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"5,986"
2022,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"3,961"
2022,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,15
2022,1,AK,"Combined Heat and Power, Commercial Power",Total,"31,523"
2022,1,AK,"Combined Heat and Power, Commercial Power",Coal,"9,454"
2022,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"18,836"
2022,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,-6
2022,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-404
2022,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,642"
2022,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Electric Power",Total,"13,635"
2022,1,AK,"Combined Heat and Power, Electric Power",Coal,"13,635"
2022,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2022,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Electric Generators, Independent Power Producers",Total,"5,452"
2022,1,AK,"Electric Generators, Independent Power Producers",Petroleum,199
2022,1,AK,"Electric Generators, Independent Power Producers",Wind,"5,254"
2022,1,AK,"Electric Generators, Electric Utilities",Total,"523,840"
2022,1,AK,"Electric Generators, Electric Utilities",Coal,"51,999"
2022,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"180,065"
2022,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"208,264"
2022,1,AK,"Electric Generators, Electric Utilities",Other,-104
2022,1,AK,"Electric Generators, Electric Utilities",Petroleum,"75,329"
2022,1,AK,"Electric Generators, Electric Utilities",Wind,"8,286"
2022,1,AL,Total Electric Power Industry,Total,"12,999,575"
2022,1,AL,Total Electric Power Industry,Coal,"2,401,647"
2022,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,206,751"
2022,1,AL,Total Electric Power Industry,Natural Gas,"5,342,831"
2022,1,AL,Total Electric Power Industry,Nuclear,"3,750,315"
2022,1,AL,Total Electric Power Industry,Other Gases,21
2022,1,AL,Total Electric Power Industry,Other,0
2022,1,AL,Total Electric Power Industry,Petroleum,"2,370"
