,year_month,total_gas,total_jet,total_diesel
0,2012-01,32291,5369,14536
1,2012-02,33197,5402,14244
2,2012-03,42549,6860,17787
3,2012-04,34644,5488,15294
4,2012-05,35399,5604,15073
5,2012-06,44318,7733,18245
6,2012-07,35025,5821,13838
7,2012-08,45469,7393,17704
8,2012-09,34730,5722,14750
9,2012-10,34653,5845,14770
10,2012-11,42894,7220,19277
11,2012-12,34232,5769,14681
12,2013-01,33262,5417,13625
13,2013-02,33853,5385,14876
14,2013-03,42237,6746,18888
15,2013-04,34025,5573,14731
16,2013-05,43354,7409,19028
17,2013-06,35676,5954,16437
18,2013-07,36157,6317,15946
19,2013-08,45761,7649,18743
20,2013-09,35006,5933,14986
21,2013-10,35774,5599,15043
22,2013-11,45030,7389,20209
23,2013-12,35433,6075,14878
24,2014-01,41390,7267,18989
25,2014-02,33301,5240,14461
26,2014-03,35176,5794,15127
27,2014-04,34735,5679,15835
28,2014-05,45498,7216,20745
29,2014-06,35863,6331,15118
30,2014-07,35790,6696,15449
31,2014-08,45636,7983,19658
32,2014-09,34759,5779,15100
33,2014-10,44553,7567,17923
34,2014-11,36878,6152,15455
35,2014-12,37054,6232,16245
36,2015-01,43999,7532,19583
37,2015-02,34636,5916,16885
38,2015-03,35829,6135,15318
39,2015-04,35629,6357,15870
40,2015-05,45959,7847,20042
41,2015-06,38162,6320,15744
42,2015-07,47711,8216,18671
43,2015-08,38018,6425,14802
44,2015-09,36236,6462,15131
45,2015-10,45779,7717,19895
46,2015-11,36644,6400,15316
47,2015-12,37220,6301,14417
48,2016-01,43020,7876,17073
49,2016-02,37022,6277,13712
50,2016-03,37616,6017,14797
51,2016-04,47118,8111,19806
52,2016-05,38645,6446,16255
53,2016-06,38854,6775,15293
54,2016-07,48760,8523,18520
55,2016-08,38701,7063,15053
56,2016-09,46921,8230,18042
57,2016-10,36363,6654,16282
58,2016-11,36676,6805,15949
59,2016-12,44643,8093,19042
60,2017-01,32888,6563,14747
61,2017-02,34723,5984,15868
62,2017-03,46491,8392,20832
63,2017-04,36860,6634,16735
64,2017-05,38386,6830,16738
65,2017-06,47645,9025,20059
66,2017-07,39041,7296,16708
67,2017-08,38794,7296,16719
68,2017-09,46986,8155,20137
69,2017-10,37391,6920,14760
70,2017-11,36987,6773,16454
71,2017-12,45547,9358,19957
72,2018-01,35223,6671,16710
73,2018-02,36031,6544,16005
74,2018-03,46653,8887,19937
75,2018-04,37303,6746,16760
76,2018-05,38684,6866,16485
77,2018-06,47781,8760,19469
78,2018-07,38707,7175,15724
79,2018-08,47944,9496,20753
80,2018-09,37272,6974,15608
81,2018-10,36846,6664,16854
82,2018-11,45541,8889,20827
83,2018-12,36250,6484,16800
84,2019-01,35732,6609,16194
85,2019-02,35502,6709,16732
86,2019-03,45866,8989,21176
87,2019-04,37863,6859,15143
88,2019-05,47283,8878,19446
89,2019-06,38763,7230,16225
90,2019-07,38200,7409,15265
91,2019-08,48580,9466,19685
92,2019-09,37229,6683,15520
93,2019-10,38188,7301,16741
94,2019-11,45894,9049,21102
95,2019-12,36557,7147,15120
96,2020-01,43079,8216,19059
97,2020-02,35861,6204,15586
98,2020-03,34641,6100,16113
99,2020-04,21317,2630,12856
100,2020-05,35654,2746,16599
101,2020-06,32939,2894,14101
102,2020-07,43390,5304,17269
103,2020-08,35460,4049,14991
104,2020-09,33912,3604,14136
105,2020-10,42642,4978,19633
106,2020-11,33122,4619,16243
107,2020-12,31725,4871,15159
108,2021-01,38688,5462,18869
109,2021-02,31619,4703,16482
110,2021-03,34675,4257,16220
111,2021-04,44570,6064,20101
112,2021-05,36649,5308,16300
113,2021-06,36453,5309,15866
114,2021-07,47721,7630,18903
115,2021-08,37913,6144,16551
116,2021-09,36795,5912,15877
117,2021-10,47074,7576,20130
118,2021-11,36630,6213,17230
119,2021-12,45317,7344,20086
120,2022-01,32861,5863,17728
121,2022-02,35096,5856,17300
