DATE,TOTALSA
2012-01-01,14.395
2012-02-01,14.975
2012-03-01,14.594
2012-04-01,14.769
2012-05-01,14.496
2012-06-01,14.467
2012-07-01,14.38
2012-08-01,14.444
2012-09-01,15.099
2012-10-01,14.83
2012-11-01,15.456
2012-12-01,15.462
2013-01-01,15.813
2013-02-01,15.861
2013-03-01,15.721
2013-04-01,15.811
2013-05-01,15.884
2013-06-01,16.149
2013-07-01,16.021
2013-08-01,15.827
2013-09-01,15.857
2013-10-01,15.727
2013-11-01,16.079
2013-12-01,15.835
2014-01-01,15.614
2014-02-01,15.993
2014-03-01,16.985
2014-04-01,16.695
2014-05-01,17.137
2014-06-01,17.516
2014-07-01,17.277
2014-08-01,17.239
2014-09-01,16.959
2014-10-01,16.756
2014-11-01,16.949
2014-12-01,17.178
2015-01-01,16.912
2015-02-01,16.895
2015-03-01,17.894
2015-04-01,17.689
2015-05-01,17.945
2015-06-01,17.881
2015-07-01,18.305
2015-08-01,18.407
2015-09-01,18.273
2015-10-01,18.272
2015-11-01,18.32
2015-12-01,17.492
2016-01-01,18.071
2016-02-01,18.08
2016-03-01,17.289
2016-04-01,17.665
2016-05-01,17.697
2016-06-01,17.729
2016-07-01,18.123
2016-08-01,17.916
2016-09-01,17.948
2016-10-01,17.967
2016-11-01,17.785
2016-12-01,18.279
2017-01-01,17.635
2017-02-01,17.833
2017-03-01,16.995
2017-04-01,17.214
2017-05-01,17.158
2017-06-01,17.236
2017-07-01,17.253
2017-08-01,17.067
2017-09-01,18.331
2017-10-01,18.334
2017-11-01,17.914
2017-12-01,17.801
2018-01-01,17.492
2018-02-01,17.637
2018-03-01,17.561
2018-04-01,17.673
2018-05-01,17.677
2018-06-01,17.735
2018-07-01,17.502
2018-08-01,17.393
2018-09-01,17.811
2018-10-01,18.112
2018-11-01,17.939
2018-12-01,18.006
2019-01-01,17.265
2019-02-01,17.185
2019-03-01,17.656
2019-04-01,16.997
2019-05-01,17.84
2019-06-01,17.832
2019-07-01,17.597
2019-08-01,17.645
2019-09-01,17.714
2019-10-01,17.23
2019-11-01,17.557
2019-12-01,17.339
2020-01-01,17.306
2020-02-01,17.337
2020-03-01,11.635
2020-04-01,8.961
2020-05-01,12.438
2020-06-01,13.447
2020-07-01,15.089
2020-08-01,15.677
2020-09-01,16.703
2020-10-01,16.852
2020-11-01,16.339
2020-12-01,16.761
2021-01-01,17.287
2021-02-01,16.392
2021-03-01,18.155
2021-04-01,18.78
2021-05-01,17.392
2021-06-01,15.948
2021-07-01,15.104
2021-08-01,13.503
2021-09-01,12.692
2021-10-01,13.486
2021-11-01,13.474
2021-12-01,13.004
2022-01-01,15.49
2022-02-01,14.429
2022-03-01,13.881
2022-04-01,14.956
2022-05-01,13.258
2022-06-01,13.491
2022-07-01,13.801
2022-08-01,13.623
