, US-Canada Rate, US-Saudi Rate,TRFVOLUSM227NFWA,GENERATION (Megawatthours),TotalSales,RAIL_PM,RAIL_FRT_INTERMODAL,TSI_Freight,Datetime,total_gas,total_jet,total_diesel,Heating Degree days: U.S. (heating degree days) heating degree days,Cooling Degree days: U.S. (cooling degree days) cooling degree days,DATE,AIRRPMTSID11
0,1.016364,3.750145,227527.0,2477158.0,14.395,463005361.0,977417.0,111.4,2012-01-01,32291.0,5369.0,14536.0,780.3,10.2,2012-01-01,68980135.0
1,0.997757,3.750272,218196.0,1901745.0,14.975,461139329.0,925371.0,112.0,2012-02-01,33197.0,5402.0,14244.0,498.6,20.3,2012-02-01,69803920.0
2,0.993162,3.75033,256166.0,1541354.0,14.594,544100123.0,1025735.0,111.9,2012-03-01,42549.0,6860.0,17787.0,252.8,62.1,2012-03-01,69640123.0
3,0.994276,3.749815,249394.0,1503233.0,14.769,585609840.0,1015261.0,112.1,2012-04-01,34644.0,5488.0,15294.0,59.7,174.0,2012-04-01,69450680.0
4,1.009397,3.7502,260774.0,1729816.0,14.496,594778477.0,1048915.0,113.0,2012-05-01,35399.0,5604.0,15073.0,10.9,321.2,2012-05-01,69120183.0
5,1.027839,3.74963,260376.0,2067697.0,14.467,642263746.0,1057111.0,113.9,2012-06-01,44318.0,7733.0,18245.0,6.9,346.7,2012-06-01,69212048.0
6,1.014016,3.751958,260244.0,2339699.0,14.38,663965533.0,1050304.0,113.5,2012-07-01,35025.0,5821.0,13838.0,29.9,236.4,2012-07-01,68894337.0
7,0.99344,3.750358,264379.0,2117982.0,14.444,639545067.0,1091182.0,112.9,2012-08-01,45469.0,7393.0,17704.0,140.7,117.0,2012-08-01,69131814.0
8,0.979022,3.750197,238867.0,1860197.0,15.099,533542490.0,1055933.0,112.2,2012-09-01,34730.0,5722.0,14750.0,316.7,38.8,2012-09-01,69380937.0
9,0.986016,3.749981,253574.0,1805124.0,14.83,539908156.0,1101408.0,110.5,2012-10-01,34653.0,5845.0,14770.0,562.7,22.2,2012-10-01,69079099.0
10,0.997657,3.750197,240361.0,1809861.0,15.456,534831976.0,996259.0,112.2,2012-11-01,42894.0,7220.0,19277.0,688.6,11.0,2012-11-01,69187515.0
11,0.990504,3.749653,238709.0,2035674.0,15.462,577219034.0,973474.0,112.3,2012-12-01,34232.0,5769.0,14681.0,854.5,10.3,2012-12-01,69698602.0
12,0.992235,3.75029,229419.0,2774720.0,15.813,478056074.0,1046442.0,114.4,2013-01-01,33262.0,5417.0,13625.0,781.1,10.1,2013-01-01,70149991.0
13,1.008024,3.750152,215803.0,1997086.0,15.861,449136459.0,983077.0,116.0,2013-02-01,33853.0,5385.0,14876.0,495.0,20.9,2013-02-01,71229962.0
14,1.0243,3.75016,253026.0,1997037.0,15.721,604193668.0,1037566.0,115.9,2013-03-01,42237.0,6746.0,18888.0,248.3,64.1,2013-03-01,70047148.0
15,1.018646,3.751388,252064.0,1885463.0,15.811,547267811.0,1034194.0,115.0,2013-04-01,34025.0,5573.0,14731.0,57.1,177.9,2013-04-01,70383314.0
16,1.019315,3.750329,263406.0,2411588.0,15.884,598536892.0,1077102.0,116.0,2013-05-01,43354.0,7409.0,19028.0,5.8,339.1,2013-05-01,70152045.0
17,1.031804,3.750247,259980.0,2342070.0,16.149,638602721.0,1070484.0,116.5,2013-06-01,35676.0,5954.0,16437.0,3.7,393.4,2013-06-01,70829412.0
18,1.041515,3.750305,263946.0,2812306.0,16.021,681357191.0,1079970.0,116.1,2013-07-01,36157.0,6317.0,15946.0,26.2,269.9,2013-07-01,70477236.0
19,1.039314,3.750326,268061.0,2448499.0,15.827,649933765.0,1140462.0,116.7,2013-08-01,45761.0,7649.0,18743.0,123.4,147.4,2013-08-01,70654987.0
20,1.036557,3.75047,242536.0,2186182.0,15.857,517765302.0,1103442.0,116.7,2013-09-01,35006.0,5933.0,14986.0,342.4,48.6,2013-09-01,70492120.0
21,1.035523,3.750655,258748.0,2018435.0,15.727,543695520.0,1165982.0,116.6,2013-10-01,35774.0,5599.0,15043.0,524.9,26.7,2013-10-01,70753062.0
