Month, Year, US-Saudi Rate
January 31, 2012,	3.750145
February 29, 2012,	3.750272
March 31, 2012,	3.75033
April 30, 2012,	3.749815
May 31, 2012,	3.7502
June 30, 2012,	3.74963
July 31, 2012,	3.751958
August 31, 2012,	3.750358
September 30, 2012,	3.750197
October 31, 2012,	3.749981
November 30, 2012,	3.750197
December 31, 2012,	3.749653
January 31, 2013,	3.75029
February 28, 2013,	3.750152
March 31, 2013,	3.75016
April 30, 2013,	3.751388
May 31, 2013,	3.750329
June 30, 2013,	3.750247
July 31, 2013,	3.750305
August 31, 2013,	3.750326
September 30, 2013,	3.75047
October 31, 2013,	3.750655
November 30, 2013,	3.750363
December 31, 2013,	3.750382
January 31, 2014,	3.751035
February 28, 2014,	3.750488
March 31, 2014,	3.750384
April 30, 2014,	3.750423
May 31, 2014,	3.750444
June 30, 2014,	3.750747
July 31, 2014,	3.750432
August 31, 2014,	3.750423
September 30, 2014,	3.75132
October 31, 2014,	3.751458
November 30, 2014,	3.75236
December 31, 2014,	3.753337
January 31, 2015,	3.755736
February 28, 2015,	3.752384
March 31, 2015,	3.75059
April 30, 2015,	3.750758
May 31, 2015,	3.750123
June 30, 2015,	3.750198
July 31, 2015,	3.750342
August 31, 2015,	3.75069
September 30, 2015,	3.750092
October 31, 2015,	3.749461
November 30, 2015,	3.75104
December 31, 2015,	3.751535
January 31, 2016,	3.75201
February 29, 2016,	3.750743
March 31, 2016,	3.750492
April 30, 2016,	3.750032
May 31, 2016,	3.750445
June 30, 2016,	3.7504
July 31, 2016,	3.750587
August 31, 2016,	3.750305
September 30, 2016,	3.750962
October 31, 2016,	3.750921
November 30, 2016,	3.750473
December 31, 2016,	3.750805
January 31, 2017,	3.750621
February 28, 2017,	3.750193
March 31, 2017,	3.750165
April 30, 2017,	3.751928
May 31, 2017,	3.750505
June 30, 2017,	3.75048
July 31, 2017,	3.750431
August 31, 2017,	3.745488
September 30, 2017,	3.751135
October 31, 2017,	3.751128
November 30, 2017,	3.750325
December 31, 2017,	3.749985
January 31, 2018,	3.750224
February 28, 2018,	3.750321
March 31, 2018,	3.75069
April 30, 2018,	3.751225
May 31, 2018,	3.755292
June 30, 2018,	3.755907
July 31, 2018,	3.755719
August 31, 2018,	3.758558
September 30, 2018,	3.754795
October 31, 2018,	3.753908
November 30, 2018,	3.751578
December 31, 2018,	3.751419
January 31, 2019,	3.74905
February 28, 2019,	3.750528
March 31, 2019,	3.750568
April 30, 2019,	3.750381
May 31, 2019,	3.75199
June 30, 2019,	3.751755
July 31, 2019,	3.75045
August 31, 2019,	3.750068
September 30, 2019,	3.751518
October 31, 2019,	3.75088
November 30, 2019,	3.750024
December 31, 2019,	3.750896
January 31, 2020,	3.751618
February 29, 2020,	3.75122
March 31, 2020,	3.754823
April 30, 2020,	3.760001
May 31, 2020,	3.757021
June 30, 2020,	3.752841
July 31, 2020,	3.750827
August 31, 2020,	3.750367
September 30, 2020,	3.750795
October 31, 2020,	3.75076
November 30, 2020,	3.750452
December 31, 2020,	3.751622
January 31, 2021,	3.751479
February 28, 2021,	3.75083
March 31, 2021,	3.750769
April 30, 2021,	3.750391
May 31, 2021,	3.750309
June 30, 2021,	3.75025
July 31, 2021,	3.750723
August 31, 2021,	3.750379
September 30, 2021,	3.75047
October 31, 2021,	3.750699
November 30, 2021,	3.750961
December 31, 2021,	3.752961
January 31, 2022,	3.752701
February 28, 2022,	3.751857
March 31, 2022,	3.751631
April 30, 2022,	3.75056
May 31, 2022,	3.751052
June 30, 2022,	3.75182
July 31, 2022,	3.755003
August 31, 2022,	3.756664
September 17, 2022,	3.758342
